ticker,name,underlying_asset,underlying_ticker,leverage,direction
TWOX,iShares Large Cap Accelerated Outcome ETF,S&P 500,,2x,
TXXD,21Shares 2x Long Dogecoin ETF,Dogecoin,DOGE,2x,long
TXXS,21Shares 2x Long Sui ETF,Sui,SUI,2x,long
TYBS,Direxion Daily 20+ Year Treasury Bear 1X Shares,ICE U.S. Treasury 20+ Year Bond Index,TYX,1x,short
TYD,Direxion Daily 7-10 Year Treasury Bull 3X Shares,U.S. Treasuries,UST,3x,long
TYO,Direxion Daily 7-10 Year Treasury Bear 3X Shares,U.S. Treasuries,UST,3x,short
TZA,Direxion Daily Small Cap Bear 3X Shares,Russell 2000,,3x,short
UBEW,Roundhill UBER WeeklyPay ETF,"Uber Technologies, Inc",UBER,1.2x,long
UBOT,"Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X Shares",Indxx Global Robotics & Artificial Intelligence Thematic Index,,2x,long
UBR,ProShares Ultra MSCI Brazil Capped,MSCI Brazil 25/50 Capped Index,MXBR2550,2x,long
UBRL,GraniteShares 2x Long UBER Daily ETF,Uber Technologies Inc.,UBER,2x,long
UBT,ProShares Ultra 20+ Year Treasury,ICE U.S. Treasury 20+ Year Bond Index,IDCOT20T,2x,long
UCC,ProShares Ultra Consumer Discretionary,S&P Consumer Discretionary Select Sector Index,IXY,2x,long
UCO,ProShares Ultra Bloomberg Crude Oil,Bloomberg Commodity Balanced WTI Crude Oil Index,BCBCLI,2x,long
UCYB,ProShares Ultra Nasdaq Cybersecurity,Nasdaq CTA Cybersecurity Index,NQCYBRT,2x,long
UDN,Invesco DB US Dollar Index Bearish Fund,USDX futures contracts,,1x,short
UDOW,ProShares UltraPro Dow30,Dow Jones Industrial Average,INDU,3x,long
UGE,ProShares Ultra Consumer Staples,S&P Consumer Staples Select Sector Index,IXR,2x,long
UGL,ProShares Ultra Gold,Bloomberg Gold Subindex,BCOMGC,2x,long
UJB,ProShares Ultra High Yield,Markit iBoxx $ Liquid High Yield Index,IBOXHY,2x,long
ULE,ProShares Ultra Euro,Euro/US Dollar,EURO,2x,long
UMDD,ProShares UltraPro MidCap400,S&P MidCap 400,MID,3x,long
UNHG,Leverage Shares 2x Long UNH Daily ETF,UnitedHealth,UNH,2x,long
UNHW,Roundhill UNH WeeklyPay ETF,UnitedHealth Group,UNH,1.2x,long
UNX,Tradr 2X Long U Daily ETF,Unity Software Inc,U,2x,long
UPRO,ProShares UltraPro S&P500,S&P 500Â®,SPX,3x,long
UPSG,Leverage Shares 2X Long UPS Daily ETF,"United Parcel Service, Inc.",UPS,2x,long
UPSX,Tradr 2X Long UPST Daily ETF,Upstart Holdings Inc.,UPST,2x,long
UPV,ProShares Ultra FTSE Europe,FTSE Developed Europe All Cap Index,ACDER,2x,long
UPW,ProShares Ultra Utilities,S&P Utilities Select Sector Index,IXU,2x,long
URAA,Direxion Daily Uranium Industry Bull 2X Shares,Solactive United States Uranium and Nuclear Energy ETF Select Index,,2x,long
URE,ProShares Ultra Real Estate,S&P Real Estate Select Sector Index,IXRE,2x,long
URR,Market Vectors Double Long Euro ETN,,,,long
URSP,Ultra S&P 500 Equal Weight,S&P 500 Index,,2x,long
URTY,ProShares UltraPro Russell2000,Russell 2000 Index,RTY,3x,long
USAX,Tradr 2X Long USAR Daily ETF,USA Rare Earth Inc,USAR,2x,long
USD,ProShares Ultra Semiconductors,Dow Jones U.S. SemiconductorsSM Index,DJUSSC,2x,long
USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund,,,,long
USGG,Leverage Shares 2X Long USAR Daily ETF,USA Rare Earth Inc,USAR,2x,long
USML,ETRACS 2x Leveraged MSCI US Minimum Volatility Factor TR ETN,MSCI USA Minimum Volatility GR USD Index,,2x,long
USOD,United States 3x Short Oil Fund,WTI Crude Oil,CL,3x,short
USOU,United States 3x Oil Fund,WTI Crude Oil,CL,3x,long
UST,ProShares Ultra 7-10 Year Treasury,ICE U.S. Treasury 7-10 Year Bond Index,IDCOT7TR,2x,long
UTSL,Direxion Daily Utilities Bull 3X Shares,S&P Utilities Select Sector,,3x,long
UUP,Invesco DB US Dollar Index Bullish Fund,,,,long
UUUG,Leverage Shares 2X Long UUUU Daily ETF,Energy Fuels Inc,UUUU,2x,long
UVIX,2x Long VIX Futures ETF,Long VIX Futures Index,,2x,long
UWM,ProShares Ultra Russell2000,Russell 2000 Index,RTY,2x,long
UXI,ProShares Ultra Industrials,S&P Industrials Select Sector Index,IXI,2x,long
UXRP,ProShares Ultra XRP ETF,Bloomberg XRP Index,XRP,2x,long
UYG,ProShares Ultra Financials,S&P Financial Select Sector Index,IXM,2x,long
UYM,ProShares Ultra Materials,S&P Materials Select Sector Index,IXB,2x,long
VALG,Leverage Shares 2X Long VALE Daily ETF,Vale S.A (ADR),VALE,2x,long
VBB,Valkyrie ETF Trust II - Valkyrie Balance Sheet Opportunities ETF,,,,
VIXI,Defiance Enhanced Long Vol ETF,VIX Fut + SP500 Index Fut,,,long
VIXY,ProShares VIX Short-Term Futures ETF,,,,short
VOYX,Tradr 2X Long VOYG Daily ETF,"Voyager Technologies, Inc",VOYG,2x,long
VRTL,GraniteShares 2x Long VRT Daily ETF,Vertiv Holdings Co.,VRT,2x,long
VSTL,Defiance Daily Target 2X Long VST ETF,,VST,2x,long
VYLD,Inverse VIX Short-Term Futures Exchange Traded Note,S&P 500 VIX Short-Term Futures Points-Change Inverse Daily Index,,,short
WANT,Direxion Daily Consumer Discretionary Bull 3X Shares,S&P Consumer Discretionary Select Sector,,3x,long
WDCX,Tradr 2X Long WDC Daily ETF,Western Digital Corp,WDC,2x,long
WDRW,Direxion Daily Regional Banks Bear 3X Shares,,,3x,short
WEBL,Direxion Daily Dow Jones Internet Bull 3x Shares,Dow Jones Industrial Average,DJI,3x,long
WEBS,Direxion Daily Dow Jones Internet Bear 3X Shares,Dow Jones Industrial Average,DJI,3x,short
WEIX,Dynamic Shares Trust Dynamic Sh,,,,
WHTX,2x Wheat ETF,Wheat futures,,2x,long
WILD,VistaShares Animal Spirits Daily 2X Strategy ETF,,,2x,
WNTR,YieldMax MSTR Short Option Income Strategy ETF,MicroStrategy Incorporated,MSTR,variable,short
WPAY,Roundhill WeeklyPay Universe ETF,Roundhill WeeklyPay Universe Index - Benchmark,,variable,long
WTID,MicroSectors Energy -3X Inverse Leveraged ETNs,Solactive MicroSectors Energy Index - Benchmark TR Gross,,3x,short
WTIU,MicroSectors Energy 3X Leveraged ETN,Solactive MicroSectors Energy Index,,3x,long
WULX,Tradr 2X Long WULF Daily ETF,"TeraWulf, Inc",WULF,2x,long
WXET,Teucrium 2x Daily Wheat ETF,,,2x,long
XAPR,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - April,,,2x,
XAUG,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - August,,,2x,
XBAP,Innovator U.S. Equity Accelerated 9 Buffer ETF - April,,,2x,
XBJA,Innovator U.S. Equity Accelerated 9 Buffer ETF - January,,,2x,
XBJL,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,,,2x,
XBOC,Innovator U.S. Equity Accelerated 9 Buffer ETF - October,,,2x,
XBTY,GraniteShares YieldBOOST Bitcoin ETF,Bitcoin,BTC,variable,long
XDEC,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - December,,,2x,
XDOC,Innovator U.S. Equity Accelerated ETF - October,,,2x,
XDQQ,Innovator Growth Accelerated ETF - Quarterly,,,2x,
XDSQ,Innovator US Equity Accelerated ETF,,,2x,
XFEB,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - February,,,2x,
XJAN,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - January,,,2x,
XJUL,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - July,,,2x,
XJUN,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - June,,,2x,
XMAR,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - March,,,2x,
XMAY,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - May,,,2x,
XNOV,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - November,,,2x,
XOCT,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - October,,,2x,
XOMX,Direxion Daily XOM Bull 2X Shares,Exxon Mobil Corporation,,2x,long
XOMZ,Direxion Daily XOM Bear 1X Shares,Exxon Mobil Corporation,,1x,short
XPEG,Leverage Shares 2X Long XPEV Daily ETF,XPeng Inc ADR,XPEV,2x,long
XPM,Defiance Daily Target 2x Long PM ETF,Philip Morris International Inc,PM,2x,long
XPP,ProShares Ultra FTSE China 50,FTSE China 50 Index,XIN0I,2x,long
XRPI,Volatility Shares XRP ETF,XRP futures,,1x,long
XRPK,T-REX 2X Long XRP Daily Target ETF,XRP/USD Exchange Rate - Benchmark Price Return,XRP,2x,long
XRPT,Volatility Shares 2X XRP ETF,XRP - Ripple,XRP,2x,long
XSEP,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - September,,,2x,
XTAP,Innovator U.S. Equity Accelerated Plus ETF,,,3x,
XTJA,Innovator U.S. Equity Accelerated Plus ETF - January,,,3x,
XTJL,Innovator U.S. Equity Accelerated Plus ETF - July,,,3x,
XTOC,Innovator U.S. Equity Accelerated Plus ETF - October,,,3x,
XXCH,Direxion Daily MSCI Emerging Markets ex China Bull 2X Shares,MSCI EM (Emerging Markets) ex China,,2x,long
XXRP,Teucrium 2x Long Daily XRP ETF,XRP - Ripple,XRP,2x,long
XYZG,Leverage Shares 2x Long XYZ Daily ETF,Block Inc.,XYZ,2x,long
YANG,Direxion Daily FTSE China Bear 3X Shares,FTSE China 50,,3x,short
YBST,GraniteShares YieldBoost Single Stock Universe ETF,,,variable,long
YBTY,GraniteShares YieldBoost TopYielders ETF,,,variable,long
YCL,ProShares Ultra Yen,Yen/US Dollar,YEN,2x,long
YCS,ProShares UltraShort Yen,Yen/US Dollar,YEN,2x,short
YINN,Direxion Daily FTSE China Bull 3x Shares,FTSE China 50,,3x,long
YSPY,GraniteShares YieldBOOST SPY ETF,SPY ETF,SPY,variable,long
YXI,ProShares Short FTSE China 50,FTSE China 50 Index,XIN0I,1x,short
ZETX,Defiance Daily Target 2x Long ZETA ETF,Zeta Global Holdings Corp,ZETA,2x,long
ZIPP,STKd 100% UBER & 100% TSLA ETF,,,2x,
ZSL,ProShares UltraShort Silver,Bloomberg Silver Subindex,BCOMSI,2x,short
ZVOL,Volatility Premium Plus ETF,S&P 500 VIX Mid Term Futures Inverse Daily Index (Excess Return),,1x,long
ZYN,Defiance Daily Target 2x Long PM ETF,Philip Morris International Inc,PM,2x,long
