ticker,name,underlying_asset,underlying_ticker,leverage,direction
DAGXF,DB Agriculture Double Long Fund,,,,long
DAMD,Defiance Daily Target 2X Short AMD ETF,"Advanced Micro Devices, Inc.",AMD,2x,short
DASX,Tradr 2X Long DASH Daily ETF,"DoorDash, Inc",DASH,2x,long
DDM,ProShares Ultra Dow30,Dow Jones Industrial Average,INDU,2x,long
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,DJ US Select / Aerospace & Defense,,3x,long
DGP,DB Gold Double Long Exchange Traded Notes,Deutsche Bank Liquid Commodity Index - Optimum Yield Gold,,2x,long
DGZ,DB Gold Short ETN,Gold,XAUUSD,,short
DIG,ProShares Ultra Energy,S&P Energy Select Sector Index,IXE,2x,long
DIPS,YieldMax Short NVDA Option Income Strategy ETF,,,,short
DJTU,T-REX 2X Long DJT Daily Target ETF,Trump Media & Technology Group Corp.,DJT,2x,long
DKNX,Defiance Daily Target 2X Long DKNG ETF,,DKNG,2x,long
DKUP,T-REX 2X Long DKNG Daily Target ETF,DraftKings Inc.,DKNG,2x,long
DLBS,iPath US Treasury Long Bond Bear ETN,U.S. Treasuries,UST,,short
DLLL,GraniteShares 2x Long DELL Daily ETF,Dell Technologies Inc.,DELL,2x,long
DOG,ProShares Short Dow30,Dow Jones Industrial Average,INDU,1x,short
DOGD,Tradr 2X Long DDOG Daily ETF,"Datadog, Inc.",DDOG,2x,long
DPK,Direxion Daily MSCI Developed Markets Bear 3X Shares,,,3x,short
DPST,Direxion Daily Regional Banks Bull 3X Shares,S&P Regional Banks Select Industry,,3x,long
DRIP,Direxion Daily S&P Oil & Gas Exploration & Production Bear 2X Shares,WTI Crude Oil,CL,2x,short
DRN,Direxion Daily Real Estate Bull 3X Shares,S&P Real Estate Select Sector,,3x,long
DRV,Direxion Daily Real Estate Bear 3X Shares,S&P Real Estate Select Sector,,3x,short
DTO,DB Crude Oil Double Short ETN,Bloomberg WTI Crude Oil Subindex,CL,,short
DTUL,iPath US Treasury 2-year Bull ETN,U.S. Treasuries,UST,,long
DTUS,iPath US Treasury 2-year Bear ETN,U.S. Treasuries,UST,,short
DTYL,iPath US Treasury 10-year Bull ETN,U.S. Treasuries,UST,,long
DUG,ProShares UltraShort Energy,S&P Energy Select Sector Index,IXE,2x,short
DULL,MicroSectors Gold -3X Inverse Leveraged ETN,Gold,XAUUSD,3x,short
DUOG,Leverage Shares 2X Long DUOL Daily ETF,"Duolingo, Inc",DUOL,2x,long
DUSL,Direxion Daily Industrials Bull 3X Shares,S&P Industrial Select Sector,,3x,long
DUST,Direxion Daily Gold Miners Index Bear 2X Shares,NYSE Arca Gold Miners Index,GDM,2x,short
DVHL,UBS ETRACS Monthly Pay 2x Leveraged Diversified High Income ETN,,,2x,long
DWSH,Advisorshares Dorsey Wright Short ETF,large-capitalization U.S.-traded equities,,,short
DXD,ProShares UltraShort Dow30,Dow Jones Industrial Average,INDU,2x,short
DYYXF,DB Commodity Double Long Mutual Fund,,,,long
DZZ,DB Gold Double Short ETN,Gold,XAUUSD,2x,short
EDC,Direxion Daily MSCI Emerging Markets Bull 3X Shares,MSCI EM,,3x,long
EDGE,MRBL Enhanced Equity ETF,,,,
EDZ,Direxion Daily MSCI Emerging Markets Bear 3X Shares,MSCI EM,,3x,short
EET,ProShares Ultra MSCI Emerging Markets,MSCI Emerging Markets Index,MXEF,2x,long
EEV,ProShares UltraShort MSCI Emerging Markets,MSCI Emerging Markets Index,MXEF,2x,short
EFO,ProShares Ultra MSCI EAFE,MSCI EAFE Index,MXEA,2x,long
EFU,ProShares UltraShort MSCI EAFE,MSCI EAFE Index,MXEA,2x,short
EFZ,ProShares Short MSCI EAFE,MSCI EAFE Index,MXEA,1x,short
ELIL,Direxion Daily LLY Bull 2X Shares,,,2x,long
ELIS,Direxion Daily LLY Bear 1X Shares,Eli Lilly and Co.,,1x,short
ELON,Battleshares TSLA vs F ETF,Tesla and Ford,TSLA,,
EMTY,ProShares Decline of the Retail Store ETF,Solactive-ProShares Bricks and Mortar Retail Store Index,SOEMTYTR,1x,short
ENPX,Tradr 2X Long ENPH Daily ETF,"Enphase Energy, Inc",ENPH,2x,long
EOSU,T-REX 2X Long EOSE Daily Target ETF,"Eos Energy Enterprises, Inc.",EOSE,2x,long
EPV,ProShares UltraShort FTSE Europe,FTSE Developed Europe All Cap Index,ACDER,2x,short
ERX,Direxion Daily Energy Bull 2X Shares,S&P Energy Select Sector,,2x,long
ERY,Direxion Daily Energy Bear 2X Shares,S&P Energy Select Sector,,2x,short
ETHD,ProShares UltraShort Ether ETF,Bloomberg Ethereum Index,ETHEREUM,2x,short
ETHI,Defiance Leveraged Long + Income Ethereum ETF,Ethereum,ETH,1.5x,long
ETHT,ProShares Ultra Ether ETF,Bloomberg Ethereum Index,ETHEREUM,2x,long
ETHU,Volatility Shares 2x Ether ETF,Ether futures,,2x,long
ETQ,T-REX 2X Inverse Ether Daily Target ETF,Ethereum,ETH,2x,short
ETRL,GRANITESHARES 2X LONG ETOR DAILY ETF,,,2x,long
ETU,T-Rex 2x Long Ether ETU ETF,Ethereum,ETH,2x,long
EUM,ProShares Short MSCI Emerging Markets,MSCI Emerging Markets Index,MXEF,1x,short
EUO,ProShares UltraShort Euro,Euro/US Dollar,EURO,2x,short
EURL,Direxion Daily FTSE Europe Bull 3X Shares,FTSE Developed Europe All Cap,,3x,long
